,relationflareF,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12
0,1,4,1,3,1,1,1,1,0,0,0,1
1,4,3,1,3,1,1,2,1,0,0,0,1
2,5,3,1,3,1,1,2,1,0,0,0,1
3,4,4,1,2,1,1,1,1,0,0,0,1
4,5,4,1,1,1,1,2,1,0,0,0,1
5,1,3,1,2,1,1,2,1,0,0,0,1
6,6,3,1,3,1,1,2,1,0,0,0,1
7,1,3,1,3,1,1,2,1,0,0,0,1
8,6,3,1,3,1,1,2,1,0,0,0,1
9,1,3,1,2,1,1,2,1,0,0,0,1
10,6,3,1,3,1,1,2,1,0,0,0,1
11,5,3,2,2,1,1,2,1,0,0,0,1
12,6,3,1,3,1,1,2,1,0,0,0,1
13,6,3,1,2,1,1,2,1,0,0,0,1
14,4,2,1,3,1,1,2,1,1,0,0,1
15,6,3,1,2,1,1,2,1,0,0,0,1
16,6,3,1,2,1,2,2,1,0,0,0,1
17,5,4,1,2,1,1,2,1,0,0,0,1
18,6,3,2,2,1,2,2,1,0,0,0,1
19,4,3,1,3,1,1,2,1,5,0,0,1
20,6,3,1,2,1,2,2,1,0,0,0,1
21,6,3,1,3,1,1,2,1,0,0,0,1
22,6,3,1,3,1,1,2,1,0,0,0,1
23,4,3,1,3,1,1,2,1,0,0,0,1
24,6,3,1,1,1,2,2,1,0,0,0,1
25,6,3,1,1,1,1,2,1,0,0,0,1
26,4,2,2,1,1,2,2,1,0,0,0,1
27,6,3,1,3,1,1,2,1,0,0,0,1
28,4,2,1,3,1,2,2,1,0,0,0,1
29,6,3,1,2,1,1,2,1,0,0,0,1
30,4,3,1,3,1,1,2,1,0,0,0,1
31,1,1,1,3,1,1,2,1,3,1,0,1
32,1,4,1,2,1,1,1,1,1,0,0,1
33,6,3,1,2,1,2,2,1,1,0,0,1
34,6,3,1,3,1,1,2,1,0,0,0,1
35,6,3,1,2,1,1,2,1,0,0,0,1
36,3,2,2,3,1,2,2,1,2,0,0,1
37,1,2,1,3,1,2,2,1,0,0,0,1
38,6,3,1,3,1,1,2,1,0,0,0,1
39,1,3,2,3,3,2,2,1,2,0,0,1
40,5,3,2,3,1,2,2,1,5,0,0,1
41,5,2,2,3,1,2,2,1,0,0,0,1
42,4,3,1,3,1,1,2,1,0,0,0,1
43,1,2,2,3,1,2,2,1,0,0,0,1
44,1,2,2,3,1,2,2,1,4,4,0,1
45,5,4,1,3,1,1,1,1,0,0,0,1
46,4,3,1,3,1,1,2,1,1,1,0,1
47,5,3,1,3,1,2,2,1,0,0,0,1
48,6,3,1,2,1,1,2,1,0,0,0,1
49,1,2,2,2,1,2,2,1,0,0,0,1
50,1,2,2,3,3,2,2,1,6,0,0,1
